"","state","death_date","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24"
"1","Louisiana",2020-01-04,915,917,917,919,922,924,924,925,926,927,927,928,928,928,928,928,928,928
"2","Louisiana",2020-01-11,924,927,929,931,935,936,938,939,941,943,943,943,943,943,943,943,945,945
"3","Louisiana",2020-01-18,921,929,932,933,934,937,939,940,942,942,942,942,942,942,942,942,943,943
"4","Louisiana",2020-01-25,907,918,924,926,927,930,933,941,942,945,947,947,948,949,949,950,950,950
"5","Louisiana",2020-02-01,913,933,940,943,948,950,955,956,957,957,958,959,959,959,961,962,962,962
"6","Louisiana",2020-02-08,862,889,891,902,905,918,921,922,923,925,929,929,930,932,934,934,936,936
"7","Louisiana",2020-02-15,819,849,863,874,885,893,902,904,909,913,916,918,921,921,923,923,924,924
"8","Louisiana",2020-02-22,771,813,831,846,856,864,878,887,900,909,910,914,916,916,919,920,921,922
"9","Louisiana",2020-02-29,757,843,866,897,923,936,948,955,961,965,970,972,973,975,979,979,979,980
"10","Louisiana",2020-03-07,617,754,788,827,861,876,900,912,919,923,928,931,934,936,937,938,939,940
"11","Louisiana",2020-03-14,424,665,738,798,848,877,895,911,928,945,953,955,958,963,969,969,971,973
"12","Louisiana",2020-03-21,NA,464,622,720,782,818,850,866,876,892,906,915,921,925,925,928,930,931
"13","Louisiana",2020-03-28,NA,NA,570,812,946,1037,1096,1129,1153,1172,1184,1195,1200,1203,1207,1215,1219,1222
"14","Louisiana",2020-04-04,NA,NA,NA,643,895,1055,1164,1221,1254,1289,1309,1324,1336,1341,1352,1361,1367,1369
"15","Louisiana",2020-04-11,NA,NA,NA,243,746,1010,1175,1280,1349,1403,1427,1445,1458,1465,1478,1492,1501,1504
"16","Louisiana",2020-04-18,NA,NA,NA,NA,270,649,943,1071,1150,1207,1234,1259,1272,1278,1295,1335,1341,1346
"17","Louisiana",2020-04-25,NA,NA,NA,NA,NA,220,577,831,942,1015,1061,1084,1109,1132,1150,1209,1221,1225
"18","Louisiana",2020-05-02,NA,NA,NA,NA,NA,NA,195,538,746,919,999,1026,1066,1085,1107,1132,1148,1152
"19","Louisiana",2020-05-09,NA,NA,NA,NA,NA,NA,NA,200,498,756,905,982,1028,1053,1079,1089,1103,1107
"20","Louisiana",2020-05-16,NA,NA,NA,NA,NA,NA,NA,NA,186,495,761,882,952,979,1017,1025,1049,1064
"21","Louisiana",2020-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476,670,805,869,919,945,982,1010
"22","Louisiana",2020-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,472,723,814,890,921,960,988
"23","Louisiana",2020-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467,647,792,833,894,920
"24","Louisiana",2020-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,398,660,720,802,829
"25","Louisiana",2020-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495,617,773,834
"26","Louisiana",2020-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,398,687,799
